Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,1,2021-11-11T00:07:37+00:00,7.2083280086517,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,7069,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,2,2021-11-11T00:07:48+00:00,11.277872085571,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",,,,,,0,Instruct,-,10,"Each word will be displayed on the computer screen for 8 seconds. The screen will automatically move to the next pair when time is up. Please study each pair. Your memory will be tested!",,Instruct15,11130,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,3,2021-11-11T00:08:00+00:00,12.125165939331,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,11970,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,4,2021-11-11T00:08:08+00:00,8.2273859977722,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",HIDE,SCARE,BUFFER1,Buffer,4,2,Study,8,8,,Study/JOL,BUFFER,8002,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,5,2021-11-11T00:08:17+00:00,8.2452630996704,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",BUTTER,PEANUT,BUFFER1,Buffer,3,6,Study,8,8,,Study/JOL,BUFFER,8003,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,6,2021-11-11T00:08:25+00:00,8.1529819965363,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",GREEN,TREES,BUFFER1,Buffer,1,5,Study,8,8,,Study/JOL,BUFFER,8002,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,7,2021-11-11T00:08:33+00:00,8.1479558944702,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",JAM,SPACE,BUFFER1,Buffer,5,4,Study,8,8,,Study/JOL,BUFFER,8002,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,8,2021-11-11T00:08:41+00:00,8.146467924118,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",CATCHER,BASEBALL,BUFFER1,Buffer,2,3,Study,8,8,,Study/JOL,BUFFER,8002,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,9,2021-11-11T00:08:49+00:00,8.1646330356598,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",CHEESE,WINE,Study1,S,57,21,Study,8,8,,Study/JOL,"Study Phase",8003,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,10,2021-11-11T00:08:57+00:00,8.1563930511475,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",WASP,BUG,Study1,F,32,38,Study,8,8,,Study/JOL,"Study Phase",8002,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,11,2021-11-11T00:09:06+00:00,8.153235912323,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",TUCK,ALLOW,Study1,U,78,18,Study,8,8,,Study/JOL,"Study Phase",8002,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,12,2021-11-11T00:09:14+00:00,8.1483869552612,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",ADD,VALLEY,Study1,U,82,49,Study,8,8,,Study/JOL,"Study Phase",8002,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,13,2021-11-11T00:09:22+00:00,8.1557111740112,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",DEFINITION,MEANING,Study1,S,62,86,Study,8,8,,Study/JOL,"Study Phase",8003,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,14,2021-11-11T00:09:30+00:00,8.1671199798584,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",STENCH,SMELL,Study1,F,42,39,Study,8,8,,Study/JOL,"Study Phase",8003,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,15,2021-11-11T00:09:38+00:00,8.1690449714661,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",VASE,KING,Study1,U,85,43,Study,8,8,,Study/JOL,"Study Phase",8002,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,16,2021-11-11T00:09:46+00:00,8.1498789787292,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",BAD,DELINQUENT,Study1,B,6,75,Study,8,8,,Study/JOL,"Study Phase",8002,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,17,2021-11-11T00:09:55+00:00,8.1608669757843,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",DROWSY,SLEEP,Study1,F,41,41,Study,8,8,,Study/JOL,"Study Phase",8001,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,18,2021-11-11T00:10:03+00:00,8.1475820541382,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",ACCIDENT,STRONG,Study1,U,80,83,Study,8,8,,Study/JOL,"Study Phase",8001,,,-1,-1,,,,1
10074017AB,057zmdnmsl,Nick_Dissertation_EX1_EP,1,19,2021-11-11T00:10:12+00:00,9.197597026825,3,versionC_stim.csv,READVersionC.csv,"Read Version C","Dissertation, read only version C",TALK,DISCUSSION,Study1,B,21,73,Study,8,8,,Study/JOL,"Study Phase",8003,,,-1,-1,,,,1
