Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*Focus
5f088147510abc0947ad,1pshl031b1,Nick_Dissertation_EX1,1,1,2020-10-24T12:17:08-07:00,14.862742185593,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",,,,,,0,Instruct,-,10,"Please study each of the following word pairs. Remember that your memory will be tested! When finished, press Enter to move to the next pair.",Initial_Instruct,Instruct1,14330,,,-1,-1,,,,1
5f088147510abc0947ad,1pshl031b1,Nick_Dissertation_EX1,1,2,2020-10-24T12:17:11-07:00,3.063747882843,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",FROZEN,ICE,BUFFER3,Buffer,94,96,Study,User,-,,Study/JOL,BUFFER,2214,,,-1,-1,,,,1
5f088147510abc0947ad,1pshl031b1,Nick_Dissertation_EX1,1,3,2020-10-24T12:17:13-07:00,1.8908009529114,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",ADVENTURE,CAMP,BUFFER3,Buffer,95,93,Study,User,-,,Study/JOL,BUFFER,1186,,,-1,-1,,,,1
5f088147510abc0947ad,1pshl031b1,Nick_Dissertation_EX1,1,4,2020-10-24T12:17:15-07:00,2.3024749755859,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",FISH,SHRIMP,BUFFER3,Buffer,93,94,Study,User,-,,Study/JOL,BUFFER,1520,,,-1,-1,,,,1
5f088147510abc0947ad,1pshl031b1,Nick_Dissertation_EX1,1,5,2020-10-24T12:17:17-07:00,2.1532859802246,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",STRING,NOODLE,BUFFER3,Buffer,92,95,Study,User,-,,Study/JOL,BUFFER,1451,,,-1,-1,,,,1
5f088147510abc0947ad,1pshl031b1,Nick_Dissertation_EX1,1,6,2020-10-24T12:17:19-07:00,1.8941221237183,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",POTATO,CARROT,BUFFER3,Buffer,91,92,Study,User,-,,Study/JOL,BUFFER,1216,,,-1,-1,,,,1
5f088147510abc0947ad,1pshl031b1,Nick_Dissertation_EX1,1,7,2020-10-24T12:17:21-07:00,1.7233839035034,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",LIE,TRUTH,Study2,S,148,174,Study,User,-,,Study/JOL,"Study Phase",998,,,-1,-1,,,,1
5f088147510abc0947ad,1pshl031b1,Nick_Dissertation_EX1,1,8,2020-10-24T12:17:23-07:00,2.0470280647278,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",LONG,EXTENSION,Study2,B,96,154,Study,User,-,,Study/JOL,"Study Phase",1216,,,-1,-1,,,,1
5f088147510abc0947ad,1pshl031b1,Nick_Dissertation_EX1,1,9,2020-10-24T12:17:25-07:00,2.0375690460205,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",COMMUNICATION,PHONE,Study2,S,149,100,Study,User,-,,Study/JOL,"Study Phase",1309,,,-1,-1,,,,1
5f088147510abc0947ad,1pshl031b1,Nick_Dissertation_EX1,1,10,2020-10-24T12:17:27-07:00,1.8424708843231,4,versionC_stim.csv,READVersionD.csv,"Read Version D","Dissertation, read only version D",OBTAIN,MEAT,Study2,U,161,102,Study,User,-,,Study/JOL,"Study Phase",1011,,,-1,-1,,,,1
